"","entrezgene_id","ensembl_gene_id","hgnc_symbol","ensembl_transcript_id"
"432",10231,"ENSG00000172348","RCAN2","ENST00000306764"
"433",222584,"ENSG00000168143","FAM83B","ENST00000306858"
"434",136647,"ENSG00000168303","MPLKIP","ENST00000306984"
"435",51778,"ENSG00000172399","MYOZ2","ENST00000307128"
"436",203062,"ENSG00000171045","TSNARE1","ENST00000307180"
"437",116236,"ENSG00000168792","ABHD15","ENST00000307201"
"438",54541,"ENSG00000168209","DDIT4","ENST00000307365"
"439",79064,"ENSG00000168569","TMEM223","ENST00000307366"
"440",3576,"ENSG00000169429","CXCL8","ENST00000307407"
"441",25849,"ENSG00000169116","PARM1","ENST00000307428"
"442",84140,"ENSG00000170264","FAM161A","ENST00000307507"
"443",83987,"ENSG00000169515","CCDC8","ENST00000307522"
